,code,name,cur_price,volume,high_price,low_price
002355,002355,넥센타이어1우B,-3855,157,-3860,-3825
002360,002360,SH에너지화학,1200,794638,1210,-1180
002380,002380,KCC,321500,19500,324000,-316000
002390,002390,한독,-28100,28773,28450,-27850
002410,002410,범양건영,1925,105932,1965,-1895
002420,002420,세기상사,71600,515,72300,-70800
002450,002450,삼익악기,1930,295948,1935,-1885
002460,002460,화성산업,14950,37674,15150,14900
002600,002600,조흥,-203000,705,215000,-202000
002620,002620,제일파마홀딩스,25500,7738,25750,-25200
002630,002630,오리엔트바이오,529,5111791,539,-515
002690,002690,동일제강,-3680,61295,3720,-3665
002700,002700,신일산업,1530,568035,1535,-1510
002710,002710,TCC동양,2260,50328,2270,-2225
002720,002720,국제약품,4645,99899,4670,-4550
002760,002760,보락,2395,428026,2430,-2360
002780,002780,진흥기업,-2040,92163,2055,-2000
002785,002785,진흥기업우B,-4785,11141,4870,-4745
002787,002787,진흥기업2우B,-11750,24440,12100,-11500
002790,002790,아모레G,66400,146523,66700,65500
002795,002795,아모레G우,29200,8708,29350,28800
002810,002810,삼영무역,15850,49105,16000,-15100
002820,002820,선창산업,-6010,15665,6160,-6000
002840,002840,미원상사,252000,294,252000,250000
002870,002870,신풍제지,1390,65591,1400,-1365
002880,002880,대유에이텍,1200,421924,1215,-1195
002900,002900,동양물산,2295,776071,2330,2270
002920,002920,유성기업,2875,5646,2885,2845
002960,002960,한국쉘석유,334000,680,334500,-329000
002990,002990,금호산업,12450,142657,12950,12450
002995,002995,금호산업우,27100,4172,27400,-26250
003000,003000,부광약품,-24450,117099,24700,-24200
003010,003010,혜인,7360,198010,7430,-7240
003030,003030,세아제강지주,54800,5023,55500,-54200
003060,003060,에이프로젠제약,2505,275096,2520,-2450
003070,003070,코오롱글로벌,-8060,37578,8190,-8030
003075,003075,코오롱글로벌우,14850,3274,14950,-14550
003080,003080,성보화학,5730,9527,5740,5680
003090,003090,대웅,-19650,85373,20050,-19600
003120,003120,일성신약,-94900,345,95400,-94800
003160,003160,디아이,-4470,182111,4560,-4410
003200,003200,일신방직,98400,599,98500,-97800
003220,003220,대원제약,-17000,32404,17300,-17000
003230,003230,삼양식품,-69600,69663,71300,-69300
003240,003240,태광산업,-1488000,846,1503000,-1480000
003280,003280,흥아해운,412,385673,415,-405
003300,003300,한일홀딩스,62500,3874,63400,61800
003350,003350,한국화장품제조,-38400,50571,39300,-38150
003410,003410,쌍용양회,6990,970170,7040,6940
003415,003415,쌍용양회우,6980,162682,7070,-6540
003460,003460,유화증권,-12850,1652,13000,-12800
003465,003465,유화증권우,-12450,381,12700,-12450
003470,003470,유안타증권,3340,238249,3375,-3330
003475,003475,유안타증권우,2280,6316,2290,-2260
003480,003480,한진중공업홀딩스,3370,280769,3410,-3200
003490,003490,대한항공,-35250,502728,36400,-34950
003495,003495,대한항공우,-14700,9749,15050,-14600
003520,003520,영진약품,6570,697066,6680,-6480
003530,003530,한화투자증권,2405,111817,2435,2400
003535,003535,한화투자증권우,-2340,25825,2370,-2310
003540,003540,대신증권,11400,84534,11500,11400
003545,003545,대신증권우,8700,23613,8740,-8660
003547,003547,대신증권2우B,8220,2946,8250,-8190
